St,County,Design Wind Speed (mph),Wind Quality Class
IA,Franklin,17.7,2
KS,Elk,23,2
IA,Osceola,18,1
MN,Dakota,19,2
MI,Huron,16.4,3
NM,Lea,18.2,3
MT,Wheatland,22,3
ID,Elmore,13.4,2
WI,Monroe,15,2
TX,Borden,17.9,2
OK,Canadian,19,3
MT,Toole,18,2
HI,Maui,24.6,1
NH,Coos,19.5,2
KS,Kiowa,20.4,2
ID,Twin Falls,14.7,3
MI,Gratiot,14.9,3
TX,Webb,17.5,2
MA,Worcester,12.3,3
ME,Oxford,19,1
IA,Mitchell,16,2
OK,Garfield,24,2
IA,Cedar,4.5,2
MN,Nobles,20,2
TX,Kent,19,2
CA,Riverside,22.3,1
NM,Curry,19,1
NM,Chaves,19,2
MA,Suffolk,10.8,3
IA,Worth,17,1
OK,Kiowa,24,2
TX,Cooke,16.8,3
NY,Wyoming,15.9,3
CA,San Bernardino,13.4,4
CA,Solano,13.9,4
CA,Tehama,21,4
MI,Delta,16.2,2
MI,Huron,16.7,2
CA,Yolo,21,4
CA,Riverside,20.4,1
CA,Kern,18.7,2
CA,Kern,18.6,2
IL,Henry,16.8,3
CO,Lincoln,17,3
CO,Lincoln,14.7,3
KS,Gray,19,2
CA,Kern,16.8,3
AZ,Coconino,16.8,3
TX,Lynn,6.7,2
KS,Gray,14,3
MN,Faribault,19,2
OK,Kay,19,2
OH,Paulding,13,3
NE,Keya Paha,16,1
ID,Bonneville,15.4,3
VT,Chittenden,17.5,2
CA,Kern,17.9,2
MI,Tuscola,16.8,3
TX,Carson,16.8,3
TX,Wilbarger,16.8,3
TX,Carson,27,2
IA,Winneshiek,16,3
IN,Randolph,16.7,3
TX,Nueces,16.5,2
AK,Anchorage,16.1,4
WA,Kittitas,19,3
IA,Greene,17.6,2
IA,Adair,17,3
IA,Cass,17,3
KS,Haskell,24,2
AK,Southeast Fairbanks,15.1,3
CO,Huerfano,16.8,3
WY,Uinta,20,1
MI,Huron,16.8,3
NE,Jefferson,16.8,3
OH,Logan,17,2
IL,Bureau,19,2
PA,Cambria,22,1
NY,Steuben,19,3
PA,Cambria,18.5,2
PA,Cambria,16.8,3
MN,Clay,31,1
IL,Lee,17,3
MD,Garrett,17.2,2
MI,Gratiot,15.2,3
IA,Story,23,2
IA,Tama,23,2
MA,Plymouth,16,2
MT,Teton,15.6,3
MN,Rice,14.5,3
NE,Custer,16.8,3
MA,Worcester,29.1,4
MA,Essex,11,3
MA,Plymouth,11,3
OH,Cuyahoga,20,4
TX,Archer,17.5,3
IL,Woodford,18.3,2
PA,Blair,17.6,2
TX,Jack,18.1,2
RI,Washington,17,1
CA,San Joaquin,15,2
CA,Alameda,15,2
CA,Riverside,15,2
SD,Jerauld,19,2
OK,Dewey,16.8,3
CA,San Diego,16.1,3
CA,Monterey,14.3,3
CA,Monterey,13.2,3
CA,Solano,13.4,3
ME,Aroostook,19,2
HI,Maui,22,1
NY,Erie,19,2
NY,Steuben,19,2
ME,Washington,19,2
ME,Penobscot,19,2
UT,Beaver,19,3
VT,Caledonia,18,2
ME,Hancock,17,3
HI,Honolulu,8.5,2
WA,Whitman,17,3
MN,Lincoln,15.6,2
WI,Racine,14.5,3
NM,Luna,13.1,3
MN,Rock,24,2
OK,Murray,27,2
MA,Bristol,14,3
RI,Providence,23.4,3
MA,Plymouth,15.7,2
MA,Bristol,14.9,2
MN,Lincoln,16,1
IA,Buena Vista,16.5,1
OR,Gilliam,17,1
IA,Linn,13.4,1
NE,Cherry,19,2
IL,McLean,14.5,3
NJ,Hudson,15,2
